Path,Model,%Syntetic
img000000.jpg,BigGAN,0.00
img000001.jpg,BigGAN,0.00
img000002.jpg,BigGAN,0.00
img000003.jpg,BigGAN,0.00
img000004.jpg,BigGAN,0.00
img000005.jpg,BigGAN,0.00
img000006.jpg,BigGAN,0.01
img000007.jpg,BigGAN,0.00
img000008.jpg,BigGAN,0.00
img000009.jpg,BigGAN,0.00
img000010.jpg,BigGAN,0.00
img000011.jpg,BigGAN,0.00
img000012.jpg,BigGAN,0.00
img000013.jpg,BigGAN,0.00
img000014.jpg,BigGAN,0.00
img000015.jpg,BigGAN,0.00
img000016.jpg,BigGAN,0.00
img000017.jpg,BigGAN,0.00
img000018.jpg,BigGAN,0.00
img000019.jpg,BigGAN,0.06
img000020.jpg,BigGAN,18.79
img000021.jpg,BigGAN,0.50
img000022.jpg,BigGAN,69.04
img000023.jpg,BigGAN,3.74
img000024.jpg,BigGAN,0.84
img000025.jpg,BigGAN,3.21
img000026.jpg,BigGAN,0.08
img000027.jpg,BigGAN,99.85
img000028.jpg,BigGAN,12.16
img000029.jpg,BigGAN,96.10
img000030.jpg,BigGAN,0.07
img000031.jpg,BigGAN,0.90
img000032.jpg,BigGAN,0.00
img000033.jpg,BigGAN,2.82
img000034.jpg,BigGAN,0.27
img000035.jpg,BigGAN,4.57
img000036.jpg,BigGAN,7.46
img000037.jpg,BigGAN,2.31
img000038.jpg,BigGAN,0.13
img000039.jpg,BigGAN,0.15
img000040.jpg,BigGAN,11.85
img000041.jpg,BigGAN,0.07
img000042.jpg,BigGAN,0.27
img000043.jpg,BigGAN,0.40
img000044.jpg,BigGAN,26.87
img000045.jpg,BigGAN,0.00
img000046.jpg,BigGAN,97.60
img000047.jpg,BigGAN,61.39
img000048.jpg,BigGAN,15.48
img000049.jpg,BigGAN,0.73
img000050.jpg,BigGAN,0.00
img000051.jpg,BigGAN,0.03
img000052.jpg,BigGAN,0.00
img000053.jpg,BigGAN,0.05
img000054.jpg,BigGAN,0.09
img000055.jpg,BigGAN,0.01
img000056.jpg,BigGAN,0.00
img000057.jpg,BigGAN,7.12
img000058.jpg,BigGAN,2.32
img000059.jpg,BigGAN,0.13
